,Crop,N_min,N_max,P_min,P_max,K_min,K_max,Avg_Temp,Rainfall,Productivity,EUR/ha,EUR/kg,Area,Production,Production_kg
141,Arecanut,79,100,28,40,79,140,24.981250000000003,1571.82,6428.571428571428,33006.874885714285,5.13440276,7.0,45.0,45000.0
142,Arecanut,79,100,28,40,79,140,25.14125,1644.1500000000003,11000.0,56478.430360000006,5.13440276,1.0,11.0,11000.0
143,Arecanut,79,100,28,40,79,140,24.570833333333336,1438.78,8000.0,41075.22208000001,5.13440276,4.0,32.0,32000.0
144,Arecanut,79,100,28,40,79,140,24.702916666666667,1256.9599999999998,11000.0,56478.430360000006,5.13440276,2.0,22.0,22000.0
145,Arecanut,79,100,28,40,79,140,24.848750000000003,1503.5700000000002,9285.714285714286,47676.59705714286,5.13440276,7.0,65.0,65000.0
146,Arecanut,79,100,28,40,79,140,22.505,3588.16,1399.3743482794578,7184.95151607925,5.13440276,959.0,1342.0,1342000.0
147,Arecanut,79,100,28,40,79,140,22.71666666666667,3730.36,6734.731084776664,34578.8218695351,5.13440276,1097.0,7388.0,7388000.0
148,Arecanut,79,100,28,40,79,140,22.13458333333333,2769.69,1398.998330550918,7183.020889616027,5.13440276,1198.0,1676.0,1676000.0
149,Arecanut,79,100,28,40,79,140,22.016250000000003,2446.26,1399.1869918699188,7183.989552813009,5.13440276,1230.0,1721.0,1721000.0
150,Arecanut,79,100,28,40,79,140,22.65,2379.48,1398.809523809524,7182.051479761905,5.13440276,1344.0,1880.0,1880000.0
151,Arecanut,79,100,28,40,79,140,22.10333333333333,2800.36,1398.989898989899,7182.97759858586,5.13440276,1386.0,1939.0,1939000.0
152,Arecanut,79,100,28,40,79,140,22.22625,2949.03,6733.661278988054,34573.32905574139,5.13440276,1423.0,9582.0,9582000.0
153,Arecanut,79,100,28,40,79,140,22.125416666666663,2932.13,1399.042645778938,7183.248421845083,5.13440276,2298.0,3215.0,3215000.0
154,Arecanut,79,100,28,40,79,140,22.21625,3174.88,6734.128376008418,34575.72731997194,5.13440276,2851.0,19199.0,19199000.0
155,Arecanut,79,100,28,40,79,140,22.112916666666667,3461.81,6734.134936539746,34575.761004382104,5.13440276,2994.0,20162.0,20162000.0
156,Arecanut,79,100,28,40,79,140,22.417083333333338,3283.76,6733.941962830128,34574.770199634826,5.13440276,3067.0,20653.0,20653000.0
157,Arecanut,79,100,28,40,79,140,22.42,3074.8900000000003,10812.846068660025,55517.50669838318,5.13440276,3612.0,39056.0,39056000.0
158,Arecanut,79,100,28,40,79,140,22.0725,3209.48,8098.228243877019,41579.56544647212,5.13440276,3838.0,31081.0,31081000.0
159,Arecanut,79,100,28,40,79,140,22.41916666666667,2085.79,8026.051070415269,41208.97876784112,5.13440276,3877.0,31117.0,31117000.0
160,Arecanut,79,100,28,40,79,140,22.33208333333333,2973.3700000000003,11138.418079096044,57189.12452734464,5.13440276,3894.0,43373.0,43373000.0
161,Arecanut,79,100,28,40,79,140,22.619166666666665,3869.13,9252.547149360504,47506.30362070671,5.13440276,4613.0,42682.0,42682000.0
162,Arecanut,79,100,28,40,79,140,26.99416666666667,1063.94,1275.840597758406,6550.679486450809,5.13440276,1606.0,2049.0,2049000.0
163,Arecanut,79,100,28,40,79,140,27.18833333333334,1051.9199999999998,1209.601081812035,6210.579132954699,5.13440276,1479.0,1789.0,1789000.0
164,Arecanut,79,100,28,40,79,140,27.195416666666667,850.1299999999999,1865.748709122203,9579.505321583478,5.13440276,1743.0,3252.0,3252000.0
165,Arecanut,79,100,28,40,79,140,27.22583333333333,1043.61,2243.3315187806206,11518.167541622212,5.13440276,1837.0,4121.0,4121000.0
